NameMonthYear,Year,Month_Year,Account_ID,Account_Type,Package,Customer_Demographics_Income,Customer_Demographics_Marital_Status,Customer_Demographics_Education,Number_of_Deposits_Credits,Number_of_Debits,Bill_Payments,Cash_Withdrawals,Point_of_sale_Transactions,Total_Value_of_Debits,Deposits_Made_During_The_Month_Credits,Total_Service_Charges,Total_Balance_at_Month_End,Number_of_Transactions
June-2023,2023,2023-06-13,184,Chequing,Silver,High Income,Married,Some College,508,98,$750.00,2749.87,$782.00,"$22,231.98",$602.61,$79.27,5797.48,205
June-2023,2023,2023-06-13,167,Savings,Bronze,High Income,Married,College Degree,867,483,$948.00,347.02,$353.00,"$22,225.38","$11,751.13",$65.84,5427.95,229
June-2023,2023,2023-06-13,43,Savings,Silver,High Income,Single,High School Graduate,10,933,$637.00,1608.55,$987.00,"$45,757.38","$35,541.41",$88.20,1091.07,174
June-2023,2023,2023-06-13,305,Chequing,Silver,High Income,Married,College Degree,911,152,$800.00,1242.29,$891.00,"$35,731.44","$32,618.06",$63.93,5647.6,459
June-2023,2023,2023-06-13,417,Chequing,Gold,Low Income,Divorced,Some College,615,572,$211.00,2253.34,$297.00,"$48,213.89","$32,446.50",$94.26,5598.46,305
June-2023,2023,2023-06-13,992,Savings,Bronze,Low Income,Divorced,College Degree,432,664,$725.00,392.28,$760.00,"$32,504.05","$13,858.92",$51.56,8628.61,794
June-2023,2023,2023-06-13,851,Chequing,Silver,High Income,Married,Some College,508,91,$71.00,2637.3,$371.00,"$46,355.57","$33,094.45",$33.91,5096.15,18
June-2023,2023,2023-06-14,636,Savings,Gold,High Income,Single,Some College,601,840,$11.00,2243.88,$333.00,"$47,348.52","$33,014.64",$38.02,8979.58,375
June-2023,2023,2023-06-14,258,Chequing,Gold,High Income,Single,Some College,152,699,$942.00,678,$182.00,"$9,697.83","$41,675.67",$106.70,2564.4,104
June-2023,2023,2023-06-15,478,Savings,Bronze,Medium Income,Single,Some College,851,71,$485.00,2008.48,$991.00,"$45,679.35","$30,436.60",$103.54,2913.52,391
June-2023,2023,2023-06-15,840,Chequing,Gold,High Income,Divorced,Some College,443,527,$83.00,2066.04,$103.00,"$35,072.92","$26,120.89",$91.76,8760.13,950
June-2023,2023,2023-06-15,824,Savings,Silver,High Income,Single,High School Graduate,575,279,$578.00,2163.84,$111.00,"$39,616.54","$39,835.22",$120.42,6419,778
June-2023,2023,2023-06-15,727,Savings,Bronze,Medium Income,Single,Master's Degree,90,602,$66.00,2642.2,$982.00,"$36,272.86","$45,856.63",$89.02,7240.6,206
June-2023,2023,2023-06-16,823,Chequing,Bronze,High Income,Divorced,Master's Degree,370,413,$833.00,2589.77,$545.00,"$21,856.35","$31,714.08",$44.77,7368.21,513
June-2023,2023,2023-06-16,271,Chequing,Gold,High Income,Married,Some College,279,297,$534.00,604.69,$178.00,"$1,381.72","$25,692.30",$145.75,7386.88,361
June-2023,2023,2023-06-17,153,Savings,Bronze,High Income,Single,Some College,660,728,$370.00,1956.98,$431.00,"$45,223.45","$42,225.98",$97.36,7200.21,250
June-2023,2023,2023-06-17,418,Savings,Bronze,Low Income,Divorced,Master's Degree,492,623,$750.00,1927.51,$977.00,"$33,690.95","$37,615.41",$114.19,9327.31,655
June-2023,2023,2023-06-18,396,Chequing,Silver,Medium Income,Single,High School Graduate,365,773,$970.00,1338.23,$644.00,"$26,708.14","$16,023.45",$74.67,2019.09,684
June-2023,2023,2023-06-19,221,Chequing,Gold,Low Income,Married,Some College,34,473,$110.00,112.06,$820.00,"$11,518.10","$5,269.62",$72.84,2123.42,698
June-2023,2023,2023-06-19,4,Savings,Gold,Medium Income,Single,Some College,488,730,$631.00,2611.07,$385.00,"$32,226.60","$2,443.38",$26.57,9919.54,993
June-2023,2023,2023-06-19,76,Chequing,Silver,High Income,Married,College Degree,288,964,$534.00,1893.34,$215.00,"$6,146.85","$13,271.32",$121.46,7527.43,672
June-2023,2023,2023-06-19,836,Savings,Silver,Medium Income,Divorced,High School Graduate,911,211,$209.00,1994.48,$524.00,"$45,180.11","$24,628.77",$39.30,6973.82,814
June-2023,2023,2023-06-19,862,Savings,Bronze,Medium Income,Divorced,Master's Degree,751,194,$434.00,1346.81,$190.00,"$9,227.90","$16,259.58",$109.95,2281.84,780
June-2023,2023,2023-06-20,784,Chequing,Silver,Medium Income,Married,College Degree,270,354,$312.00,2540.08,$766.00,"$8,364.72","$39,558.47",$69.21,8159.62,667
June-2023,2023,2023-06-20,227,Chequing,Gold,High Income,Married,High School Graduate,785,249,$452.00,774.3,$772.00,"$36,801.35","$39,309.78",$40.48,8902.57,740
June-2023,2023,2023-06-21,52,Chequing,Silver,Medium Income,Married,College Degree,808,724,$463.00,353.26,$601.00,"$43,118.61","$9,653.70",$136.02,7648.86,360
June-2023,2023,2023-06-21,370,Chequing,Bronze,Medium Income,Divorced,College Degree,953,373,$52.00,2067.82,$893.00,"$21,690.25","$38,431.83",$42.84,2673.3,518
June-2023,2023,2023-06-22,68,Savings,Gold,Low Income,Single,High School Graduate,435,575,$566.00,1470.97,$154.00,"$20,834.77","$30,319.82",$44.70,9453.93,117
June-2023,2023,2023-06-22,263,Savings,Silver,High Income,Single,Some College,819,288,$960.00,425.01,$260.00,"$1,601.47","$45,286.84",$15.45,4051.28,801
June-2023,2023,2023-06-22,967,Savings,Bronze,Low Income,Single,College Degree,269,269,$348.00,1384.19,$158.00,"$28,367.52","$30,748.41",$33.34,3311.97,215
June-2023,2023,2023-06-23,568,Savings,Silver,Medium Income,Single,Master's Degree,983,412,$496.00,1604.13,$838.00,"$12,731.67","$39,735.40",$133.22,1941.57,565
June-2023,2023,2023-06-23,716,Savings,Bronze,High Income,Married,High School Graduate,836,531,$931.00,104.1,$557.00,"$16,508.18","$39,848.48",$102.41,4827.08,854
June-2023,2023,2023-06-23,362,Savings,Bronze,Low Income,Single,Master's Degree,875,91,$467.00,832.43,$174.00,"$26,690.97","$10,927.89",$21.85,3231.72,325
June-2023,2023,2023-06-23,427,Savings,Gold,High Income,Single,High School Graduate,490,572,$141.00,430.49,$717.00,"$26,485.70","$8,750.10",$20.09,5148.37,540
June-2023,2023,2023-06-23,534,Chequing,Bronze,Low Income,Married,High School Graduate,612,759,$593.00,1943,$739.00,"$11,808.08","$32,685.95",$9.78,493.05,320
June-2023,2023,2023-06-24,228,Chequing,Bronze,High Income,Single,High School Graduate,308,371,$907.00,696.11,$333.00,"$6,852.18","$15,813.24",$63.89,9685.14,379
June-2023,2023,2023-06-24,146,Savings,Bronze,Low Income,Divorced,High School Graduate,621,736,$896.00,1064.26,$345.00,"$21,155.11","$34,238.03",$47.13,779.78,962
June-2023,2023,2023-06-25,201,Chequing,Silver,High Income,Single,College Degree,813,215,$413.00,2863.21,$401.00,"$40,948.34","$8,655.91",$130.07,9300,146
June-2023,2023,2023-06-25,272,Savings,Gold,Medium Income,Married,College Degree,450,733,$495.00,1450.23,$900.00,"$30,759.63","$38,966.54",$25.87,6520.36,616
June-2023,2023,2023-06-25,301,Savings,Silver,High Income,Single,Master's Degree,252,769,$140.00,910.08,$610.00,"$22,406.48","$44,265.10",$20.07,7937.86,970
June-2023,2023,2023-06-26,940,Savings,Bronze,Medium Income,Single,Some College,568,507,$9.00,812.26,$694.00,"$48,863.74","$17,197.32",$61.73,1578.58,470
June-2023,2023,2023-06-28,365,Chequing,Silver,High Income,Single,Master's Degree,398,531,$151.00,396.68,$230.00,"$42,133.18","$27,797.89",$53.85,9626.5,334
June-2023,2023,2023-06-28,543,Savings,Silver,High Income,Divorced,Some College,481,238,$645.00,388.71,$977.00,"$24,736.09","$28,165.39",$126.58,3245.23,182
June-2023,2023,2023-06-28,155,Savings,Silver,Medium Income,Married,College Degree,691,535,$577.00,453.94,$35.00,"$1,408.42","$3,256.07",$99.64,2462.75,963
June-2023,2023,2023-06-28,168,Savings,Bronze,Low Income,Single,College Degree,90,109,$668.00,1738.93,$578.00,"$28,848.14","$46,686.00",$99.08,2349.12,684
June-2023,2023,2023-06-29,983,Savings,Gold,High Income,Single,Some College,52,63,$126.00,369.23,$851.00,"$41,164.05","$5,093.14",$55.43,9645.6,204
June-2023,2023,2023-06-29,710,Savings,Gold,High Income,Divorced,Master's Degree,985,275,$234.00,1059.01,$974.00,"$27,486.43","$29,525.92",$137.17,4600.12,606
June-2023,2023,2023-06-29,835,Savings,Silver,Low Income,Single,Master's Degree,735,21,$753.00,1271.95,$334.00,"$39,720.80","$16,798.86",$78.76,7380.09,200
June-2023,2023,2023-06-30,808,Chequing,Bronze,Low Income,Divorced,High School Graduate,410,625,$507.00,2080.26,$793.00,"$42,357.91","$43,702.90",$66.19,6522.33,510
June-2023,2023,2023-06-30,586,Chequing,Bronze,Medium Income,Divorced,Some College,408,217,$210.00,2487,$616.00,"$6,528.40","$36,861.64",$142.84,7798.11,891
July-2023,2023,2023-07-01,260,Savings,Bronze,Medium Income,Married,Some College,30,795,$541.00,2091.18,$315.00,"$16,582.71","$32,015.85",$119.69,5638.88,415
July-2023,2023,2023-07-01,408,Savings,Silver,Medium Income,Divorced,Some College,561,749,$761.00,1790.57,$94.00,"$2,021.64","$44,387.67",$48.39,414.41,749
July-2023,2023,2023-07-02,7,Savings,Silver,High Income,Married,Master's Degree,797,392,$863.00,1804.64,$670.00,"$39,137.69","$39,209.24",$115.75,7290.46,234
July-2023,2023,2023-07-04,352,Savings,Silver,High Income,Single,Master's Degree,285,869,$211.00,307.16,$821.00,"$45,201.73","$33,290.15",$135.62,5023.22,162
July-2023,2023,2023-07-05,660,Chequing,Gold,Medium Income,Single,Some College,578,714,$123.00,451.27,$61.00,"$16,067.74","$25,515.80",$49.64,5151.71,437
July-2023,2023,2023-07-05,822,Chequing,Silver,High Income,Divorced,Some College,499,116,$371.00,2208.71,$356.00,"$47,282.24","$27,670.62",$144.91,5780.97,882
July-2023,2023,2023-07-05,969,Chequing,Silver,Low Income,Married,Some College,924,48,$778.00,2214,$193.00,"$15,525.75","$9,386.65",$130.18,9576.22,232
July-2023,2023,2023-07-06,746,Chequing,Silver,Low Income,Divorced,High School Graduate,976,931,$584.00,1445.96,$710.00,"$5,032.11","$42,715.64",$91.64,2098.79,638
July-2023,2023,2023-07-06,658,Chequing,Bronze,Low Income,Single,College Degree,553,680,$604.00,2614.5,$324.00,"$43,060.79","$44,749.76",$94.67,5310.18,102
July-2023,2023,2023-07-06,587,Chequing,Silver,High Income,Married,Master's Degree,379,276,$877.00,602.66,$452.00,"$18,984.58","$23,472.37",$67.24,4109,287
July-2023,2023,2023-07-06,287,Savings,Gold,Low Income,Married,College Degree,638,465,$593.00,1606.68,$239.00,"$12,254.84","$42,854.75",$14.99,4387.73,533
July-2023,2023,2023-07-06,280,Savings,Gold,Low Income,Divorced,College Degree,276,16,$805.00,1613.44,$753.00,"$14,629.93","$24,315.48",$17.25,9948.42,807
July-2023,2023,2023-07-07,782,Savings,Bronze,Low Income,Married,College Degree,45,621,$694.00,2160.85,$375.00,"$46,098.53","$38,490.72",$50.57,751.95,477
July-2023,2023,2023-07-08,720,Savings,Bronze,High Income,Married,Master's Degree,556,899,$860.00,2144.37,$724.00,"$33,730.07","$26,247.35",$69.50,9800.32,185
July-2023,2023,2023-07-08,888,Savings,Silver,High Income,Divorced,High School Graduate,19,94,$990.00,941.01,$297.00,"$40,492.00","$37,370.12",$72.94,5490.93,66
July-2023,2023,2023-07-08,236,Savings,Gold,High Income,Divorced,Master's Degree,702,256,$10.00,2463.49,$200.00,"$22,139.97","$26,544.17",$31.98,7103.39,85
July-2023,2023,2023-07-08,415,Chequing,Bronze,Low Income,Divorced,College Degree,318,130,$535.00,2668.02,$922.00,"$31,866.88","$32,662.13",$47.13,2523.9,158
July-2023,2023,2023-07-08,358,Savings,Bronze,Medium Income,Divorced,High School Graduate,941,61,$964.00,1234.97,$972.00,"$18,486.85","$17,552.78",$27.80,6226,42
July-2023,2023,2023-07-08,540,Savings,Silver,Medium Income,Divorced,College Degree,513,384,$108.00,1335.03,$355.00,"$30,587.83","$28,582.63",$30.34,9676.79,934
July-2023,2023,2023-07-09,528,Savings,Gold,Medium Income,Divorced,High School Graduate,257,336,$388.00,2466.39,$787.00,"$16,310.23","$26,200.49",$104.45,9412.5,213
July-2023,2023,2023-07-09,871,Savings,Silver,High Income,Divorced,High School Graduate,307,952,$228.00,1367.53,$209.00,"$34,787.84","$38,127.89",$49.12,4162.98,282
July-2023,2023,2023-07-09,567,Savings,Silver,Medium Income,Married,Some College,104,733,$824.00,2490.83,$52.00,"$7,898.26","$24,746.33",$107.78,2644.96,366
July-2023,2023,2023-07-10,896,Chequing,Silver,Medium Income,Married,Master's Degree,657,514,$855.00,1539,$475.00,"$47,759.84","$29,440.93",$105.23,5981.97,929
July-2023,2023,2023-07-10,976,Chequing,Bronze,High Income,Single,Some College,47,242,$233.00,1333.28,$857.00,"$31,511.54","$49,425.14",$63.80,7203.91,144
July-2023,2023,2023-07-10,18,Chequing,Silver,Medium Income,Single,College Degree,316,123,$125.00,1596.84,$466.00,"$12,504.63","$9,245.58",$104.07,5350.12,677
July-2023,2023,2023-07-11,393,Savings,Gold,Medium Income,Single,High School Graduate,428,33,$883.00,2666.46,$360.00,"$26,142.08","$20,367.14",$35.76,9231.75,27
July-2023,2023,2023-07-12,22,Chequing,Gold,Low Income,Married,College Degree,88,983,$387.00,349.32,$898.00,"$36,098.20","$14,160.43",$131.22,3544.54,985
July-2023,2023,2023-07-12,715,Savings,Silver,High Income,Married,High School Graduate,560,854,$800.00,2149.42,$225.00,"$49,417.32","$40,661.92",$79.65,2616.84,34
July-2023,2023,2023-07-13,634,Savings,Gold,Low Income,Divorced,Some College,20,242,$848.00,2346.95,$160.00,"$4,324.47","$27,074.38",$125.76,4969.92,588
July-2023,2023,2023-07-13,368,Savings,Gold,High Income,Divorced,Master's Degree,511,804,$249.00,342.92,$942.00,"$7,150.09","$12,498.31",$66.59,1027.78,47
July-2023,2023,2023-07-13,463,Chequing,Silver,Low Income,Single,Master's Degree,594,268,$952.00,1469.94,$56.00,"$44,892.53","$49,675.61",$79.67,9559.8,588
July-2023,2023,2023-07-14,377,Savings,Silver,High Income,Single,Master's Degree,383,436,$522.00,2416.96,$314.00,"$23,596.71","$28,987.47",$113.41,3217.59,873
July-2023,2023,2023-07-14,47,Chequing,Gold,Medium Income,Married,College Degree,370,491,$935.00,367.55,$964.00,"$19,317.83","$40,879.41",$53.95,6271.74,477
July-2023,2023,2023-07-14,99,Chequing,Bronze,Low Income,Divorced,Some College,33,106,$312.00,1076.04,$92.00,"$2,186.93","$23,470.33",$47.11,9648.73,495
July-2023,2023,2023-07-14,252,Chequing,Gold,Low Income,Divorced,College Degree,327,640,$933.00,2305.87,$487.00,"$31,011.07","$24,048.77",$36.61,4111.34,36
July-2023,2023,2023-07-14,670,Chequing,Silver,High Income,Single,High School Graduate,639,57,$785.00,2421.96,$906.00,"$41,842.29","$11,866.75",$7.47,359.2,219
July-2023,2023,2023-07-15,659,Chequing,Bronze,Medium Income,Single,Master's Degree,51,627,$582.00,1686.49,$820.00,"$16,038.82","$33,746.09",$124.80,2090.99,354
July-2023,2023,2023-07-15,235,Chequing,Gold,Medium Income,Married,High School Graduate,843,844,$903.00,1210.25,$952.00,"$49,121.70","$31,271.33",$49.35,7808.8,438
July-2023,2023,2023-07-15,238,Savings,Silver,Medium Income,Married,High School Graduate,872,829,$724.00,1700.43,$104.00,"$8,001.78","$22,555.66",$17.46,3243.05,819
July-2023,2023,2023-07-15,308,Savings,Gold,Medium Income,Single,College Degree,347,840,$984.00,1622.94,$461.00,"$47,296.45","$32,896.14",$66.86,7474.72,621
July-2023,2023,2023-07-16,300,Chequing,Silver,Low Income,Single,Some College,428,358,$519.00,651.42,$727.00,"$28,234.85","$32,808.10",$48.40,263.62,247
July-2023,2023,2023-07-16,469,Chequing,Bronze,Medium Income,Single,Some College,217,476,$744.00,2919.4,$44.00,"$48,614.99","$35,110.79",$18.68,8113.19,102
July-2023,2023,2023-07-16,224,Chequing,Bronze,Medium Income,Married,Master's Degree,851,601,$821.00,856.3,$974.00,"$47,965.36","$14,303.10",$6.71,1245.01,986
July-2023,2023,2023-07-16,828,Chequing,Silver,Medium Income,Single,Some College,209,99,$382.00,2619.85,$87.00,"$11,954.09","$2,990.34",$8.77,7194.38,336
July-2023,2023,2023-07-16,921,Chequing,Silver,Medium Income,Married,High School Graduate,131,586,$546.00,660.74,$661.00,"$41,592.76","$15,820.07",$75.07,5150.22,413
July-2023,2023,2023-07-17,722,Savings,Silver,Medium Income,Married,Master's Degree,633,173,$684.00,1262.43,$198.00,"$11,923.07","$8,344.67",$28.35,2310.81,334
July-2023,2023,2023-07-17,406,Chequing,Bronze,Medium Income,Married,Some College,489,220,$333.00,2169.64,$954.00,"$48,956.78","$43,374.31",$62.90,8404.21,810
July-2023,2023,2023-07-18,289,Savings,Bronze,Medium Income,Divorced,College Degree,817,855,$910.00,2416.15,$463.00,"$9,354.69","$37,562.15",$52.26,6414.37,606
July-2023,2023,2023-07-18,239,Savings,Silver,High Income,Single,Some College,348,780,$447.00,1802.9,$444.00,"$19,455.97","$9,377.01",$143.11,546.36,194
July-2023,2023,2023-07-18,700,Chequing,Gold,Low Income,Divorced,Master's Degree,980,929,$105.00,1064.65,$47.00,"$36,249.54","$1,921.34",$11.24,3777.48,998
July-2023,2023,2023-07-18,705,Chequing,Bronze,High Income,Single,College Degree,418,374,$128.00,815.2,$611.00,"$3,568.74","$13,481.46",$36.21,9705.84,781
July-2023,2023,2023-07-19,655,Savings,Gold,Medium Income,Divorced,High School Graduate,874,994,$820.00,2011.35,$372.00,"$15,523.20","$31,688.45",$37.73,8479.85,261
July-2023,2023,2023-07-19,589,Chequing,Bronze,Low Income,Divorced,Some College,326,352,$370.00,2804.27,$597.00,"$24,446.52","$47,516.82",$149.07,6268.05,709
July-2023,2023,2023-07-19,793,Savings,Bronze,High Income,Married,Master's Degree,808,759,$952.00,2986.29,$664.00,"$18,314.09","$48,343.78",$145.99,8935.38,558
July-2023,2023,2023-07-19,974,Savings,Silver,Low Income,Single,High School Graduate,537,549,$371.00,1933.63,$281.00,"$49,024.06","$3,313.82",$130.59,6947.5,686
July-2023,2023,2023-07-19,932,Chequing,Silver,Low Income,Divorced,High School Graduate,771,339,$884.00,1282.91,$590.00,"$20,923.92","$17,622.13",$67.02,6315.4,439
July-2023,2023,2023-07-19,230,Savings,Bronze,Low Income,Married,Master's Degree,794,709,$979.00,2771.49,$161.00,"$2,233.52","$46,719.91",$139.73,7251.25,16
July-2023,2023,2023-07-19,44,Savings,Bronze,Medium Income,Married,Some College,306,633,$877.00,2321.01,$672.00,"$25,133.00","$45,170.08",$125.65,6826.34,624
July-2023,2023,2023-07-20,832,Chequing,Gold,Low Income,Single,Some College,45,261,$372.00,1095.5,$948.00,"$39,799.04","$38,447.59",$112.58,5410.03,920
July-2023,2023,2023-07-20,637,Savings,Gold,Medium Income,Married,Master's Degree,989,946,$351.00,1214.86,$249.00,"$47,660.79","$14,931.05",$113.97,2899.58,687
July-2023,2023,2023-07-22,27,Savings,Gold,Low Income,Married,Some College,873,341,$867.00,1714.9,$335.00,"$26,129.37","$5,706.33",$55.83,3934.29,100
July-2023,2023,2023-07-23,246,Savings,Gold,High Income,Married,College Degree,484,71,$82.00,562.23,$449.00,"$8,725.53","$16,223.52",$80.13,7355.6,983
July-2023,2023,2023-07-23,275,Savings,Gold,High Income,Married,College Degree,116,363,$653.00,1256.14,$20.00,"$22,756.64","$8,833.46",$139.05,2940.4,433
July-2023,2023,2023-07-23,453,Chequing,Bronze,Medium Income,Married,Master's Degree,52,321,$749.00,1196.52,$496.00,"$4,095.70","$13,126.35",$141.98,313.55,172
July-2023,2023,2023-07-24,460,Chequing,Silver,Low Income,Married,College Degree,658,556,$588.00,2746.44,$384.00,"$43,144.34","$47,749.52",$94.98,8406.56,620
July-2023,2023,2023-07-24,2,Savings,Gold,High Income,Single,College Degree,916,465,$275.00,591.61,$778.00,"$46,775.40","$21,956.94",$100.17,8312,649
July-2023,2023,2023-07-24,605,Savings,Gold,High Income,Divorced,High School Graduate,242,815,$18.00,1841.04,$983.00,"$2,224.71","$29,688.79",$124.24,7526.64,497
July-2023,2023,2023-07-24,997,Chequing,Silver,High Income,Married,College Degree,258,592,$667.00,832.96,$722.00,"$19,689.37","$24,647.86",$148.79,2589.28,574
July-2023,2023,2023-07-25,689,Chequing,Bronze,High Income,Single,High School Graduate,510,216,$725.00,1308.62,$393.00,$768.00,"$16,180.58",$41.44,5349.59,416
July-2023,2023,2023-07-25,31,Savings,Silver,Low Income,Divorced,College Degree,839,392,$114.00,235.79,$914.00,"$4,593.45","$31,499.60",$76.13,1764.75,254
July-2023,2023,2023-07-26,74,Savings,Silver,Medium Income,Married,Some College,270,112,$473.00,219.37,$47.00,"$47,478.16","$25,948.97",$21.75,4348.78,520
July-2023,2023,2023-07-26,391,Savings,Bronze,Low Income,Divorced,College Degree,487,286,$645.00,2751.16,$219.00,"$36,085.53","$3,802.90",$49.04,107.81,894
July-2023,2023,2023-07-26,887,Savings,Bronze,Medium Income,Divorced,Master's Degree,55,852,$350.00,2913.22,$567.00,"$38,795.08","$5,102.09",$23.77,1160.19,943
July-2023,2023,2023-07-26,882,Savings,Gold,High Income,Divorced,Master's Degree,32,689,$917.00,1668.48,$545.00,"$15,458.32","$29,289.30",$102.44,6420.99,937
July-2023,2023,2023-07-27,672,Chequing,Bronze,Medium Income,Single,High School Graduate,266,357,$382.00,302.39,$296.00,"$14,632.60","$33,062.10",$42.09,9468.37,813
July-2023,2023,2023-07-27,650,Savings,Gold,Low Income,Married,Some College,965,334,$609.00,2398.92,$769.00,"$49,645.58","$17,120.50",$73.84,7859.09,79
July-2023,2023,2023-07-27,594,Chequing,Gold,Low Income,Divorced,Master's Degree,520,124,$479.00,1128.91,$627.00,"$8,852.47","$46,247.68",$141.11,3986.66,694
July-2023,2023,2023-07-28,846,Savings,Silver,High Income,Married,Some College,831,205,$157.00,2332.9,$91.00,"$20,139.63","$41,465.11",$135.87,139.25,137
July-2023,2023,2023-07-28,770,Savings,Bronze,High Income,Married,High School Graduate,258,176,$882.00,164.44,$52.00,"$44,117.51","$21,496.36",$124.35,5061.09,475
July-2023,2023,2023-07-28,953,Chequing,Silver,High Income,Married,Some College,281,51,$595.00,2956.95,$982.00,"$9,773.08","$30,565.05",$81.57,5753.49,947
July-2023,2023,2023-07-28,106,Savings,Bronze,Low Income,Divorced,High School Graduate,678,28,$871.00,1588.71,$72.00,"$10,972.58","$27,552.94",$17.94,6489.54,843
July-2023,2023,2023-07-28,45,Savings,Silver,High Income,Married,College Degree,128,43,$81.00,1631.53,$575.00,"$2,694.03","$11,829.48",$52.69,7332.28,387
July-2023,2023,2023-07-28,56,Chequing,Gold,Low Income,Single,College Degree,593,380,$166.00,1180.14,$178.00,"$34,943.92","$37,129.96",$69.11,7786.68,554
July-2023,2023,2023-07-28,59,Savings,Silver,Low Income,Married,Master's Degree,876,414,$164.00,2485.95,$575.00,"$35,406.04","$41,704.74",$88.70,2950.05,699
July-2023,2023,2023-07-30,110,Chequing,Bronze,Medium Income,Single,High School Graduate,181,524,$416.00,2763.72,$115.00,"$35,772.28","$21,013.20",$66.05,5561.14,22
July-2023,2023,2023-07-30,426,Savings,Silver,Low Income,Divorced,High School Graduate,348,327,$764.00,2711.79,$158.00,"$2,245.81","$47,646.66",$120.12,4587.63,217
July-2023,2023,2023-07-30,592,Chequing,Gold,Medium Income,Married,High School Graduate,132,387,$332.00,792.07,$272.00,"$43,711.61","$28,630.42",$98.53,7398.08,273
July-2023,2023,2023-07-30,565,Chequing,Bronze,High Income,Married,Master's Degree,51,672,$220.00,1515.07,$722.00,"$17,893.26","$11,235.46",$145.27,2105.32,364
July-2023,2023,2023-07-31,385,Chequing,Silver,High Income,Divorced,College Degree,501,152,$79.00,2692.46,$92.00,"$41,047.24","$15,720.64",$34.66,6117.13,277
July-2023,2023,2023-07-31,202,Chequing,Bronze,High Income,Married,College Degree,556,483,$445.00,1073.6,$5.00,"$11,814.67","$3,560.73",$28.33,4542.77,317
August-2023,2023,2023-08-01,422,Savings,Bronze,Medium Income,Divorced,Some College,509,24,$99.00,1240.32,$11.00,"$2,924.25","$18,014.50",$56.44,9851.34,458
August-2023,2023,2023-08-01,571,Chequing,Silver,High Income,Married,College Degree,700,750,$512.00,581.04,$81.00,"$38,159.37","$14,812.41",$107.59,531.82,455
August-2023,2023,2023-08-02,646,Savings,Gold,Low Income,Married,High School Graduate,720,957,$381.00,2635.34,$554.00,"$35,217.45","$20,488.30",$129.69,7525.19,69
August-2023,2023,2023-08-02,663,Savings,Silver,Low Income,Married,Master's Degree,197,602,$281.00,1904.74,$323.00,"$6,166.41","$7,672.77",$34.76,1781.34,42
August-2023,2023,2023-08-02,524,Savings,Bronze,High Income,Divorced,Some College,195,394,$458.00,676.21,$434.00,"$4,349.17","$47,224.31",$98.36,9167.58,111
August-2023,2023,2023-08-03,498,Savings,Bronze,Low Income,Divorced,College Degree,882,166,$919.00,689.14,$638.00,"$46,204.12","$13,395.66",$60.06,5353.75,106
August-2023,2023,2023-08-03,50,Chequing,Silver,Medium Income,Single,High School Graduate,695,452,$607.00,1336.33,$445.00,"$27,823.82","$2,836.99",$34.15,7786.62,266
August-2023,2023,2023-08-03,574,Chequing,Gold,Medium Income,Single,College Degree,754,28,$272.00,2816.22,$806.00,"$12,479.14","$40,941.25",$139.72,719.2,470
August-2023,2023,2023-08-03,905,Chequing,Silver,Medium Income,Married,College Degree,198,41,$996.00,2438.02,$60.00,"$45,396.81","$20,045.79",$25.34,5658.79,334
August-2023,2023,2023-08-05,584,Savings,Gold,High Income,Divorced,College Degree,4,822,$493.00,795.5,$136.00,"$26,434.95","$25,269.65",$145.22,1408.33,74
August-2023,2023,2023-08-05,329,Savings,Gold,Low Income,Divorced,Some College,955,267,$610.00,2072.46,$935.00,"$10,558.58","$9,579.25",$97.06,7639.1,26
August-2023,2023,2023-08-06,399,Savings,Bronze,Low Income,Married,High School Graduate,742,627,$222.00,886.68,$501.00,"$24,514.34","$2,606.87",$139.45,3900.31,241
August-2023,2023,2023-08-06,363,Chequing,Bronze,Medium Income,Single,Some College,412,736,$538.00,262.75,$10.00,"$31,045.11",$677.57,$31.10,2983.05,579
August-2023,2023,2023-08-06,915,Savings,Bronze,Medium Income,Single,Some College,680,518,$839.00,2864.22,$522.00,"$1,845.36","$3,744.01",$39.85,1395.43,838
August-2023,2023,2023-08-07,923,Savings,Gold,Medium Income,Divorced,College Degree,45,910,$115.00,929.66,$933.00,"$47,134.69","$28,865.67",$39.06,6902.01,656
August-2023,2023,2023-08-07,639,Chequing,Gold,Medium Income,Single,Some College,933,39,$563.00,2904.32,$439.00,$173.96,"$15,684.77",$82.16,860.12,784
August-2023,2023,2023-08-07,170,Chequing,Silver,Medium Income,Married,Some College,743,769,$579.00,2651.8,$548.00,"$11,815.13","$32,103.15",$126.49,8798.08,521
August-2023,2023,2023-08-07,217,Savings,Bronze,Low Income,Divorced,Master's Degree,722,238,$764.00,1548.15,$740.00,"$27,371.74","$45,517.56",$61.14,8796.96,49
August-2023,2023,2023-08-08,126,Chequing,Gold,Low Income,Divorced,Master's Degree,372,755,$74.00,458.22,$111.00,"$18,399.43","$11,174.63",$31.14,5531.56,316
August-2023,2023,2023-08-08,680,Savings,Gold,Medium Income,Single,College Degree,621,405,$895.00,1795.82,$6.00,"$19,470.55","$46,023.36",$24.79,9295.87,157
August-2023,2023,2023-08-08,919,Savings,Gold,Medium Income,Married,College Degree,958,709,$127.00,753.29,$436.00,"$29,691.45","$43,335.06",$133.08,365.5,413
